org_id,scheme,identifier,publisher_name,registry_slug,url
GB-CHC-1152010,IATI,GB-CHC-1152010,Child-to-Child,ctc,https://dashboard.iatistandard.org/publishers/ctc/
GB-CHC-1154085,IATI,GB-CHC-1154085,Exeter Ethiopia Link,eel,https://dashboard.iatistandard.org/publishers/eel/
GB-CHC-1154230,IATI,GB-CHC-1154230,Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,https://dashboard.iatistandard.org/publishers/girlsnotbrides/
GB-CHC-1154413,IATI,GB-CHC-1154413,Climate Bonds Initiative,cbi,https://dashboard.iatistandard.org/publishers/cbi/
GB-CHC-1157009,IATI,GB-CHC-1157009,Abaseen Foundation UK,abaseen,https://dashboard.iatistandard.org/publishers/abaseen/
GB-CHC-1157722,IATI,GB-CHC-1157722,Irise International,irise_int,https://dashboard.iatistandard.org/publishers/irise_int/
GB-CHC-1158206,IATI,GB-CHC-1158206,Water Works,waterworks,https://dashboard.iatistandard.org/publishers/waterworks/
GB-CHC-1158838,IATI,GB-CHC-1158838,The Freedom Fund,tff,https://dashboard.iatistandard.org/publishers/tff/
GB-CHC-1159990,IATI,GB-CHC-1159990,Sub-Sahara Advisory Panel,ssap,https://dashboard.iatistandard.org/publishers/ssap/
GB-CHC-1160256,IATI,GB-CHC-1160256,READ Foundation,read-foundation,https://dashboard.iatistandard.org/publishers/read-foundation/
GB-CHC-1160263,IATI,GB-CHC-1160263,WasteAid,wasteaid,https://dashboard.iatistandard.org/publishers/wasteaid/
GB-CHC-1162997,IATI,GB-CHC-1162997,Peaceful Change initiative,pci,https://dashboard.iatistandard.org/publishers/pci/
GB-CHC-1166956,IATI,GB-CHC-1166956,UK-Med,uk-med,https://dashboard.iatistandard.org/publishers/uk-med/
GB-CHC-1171353,IATI,GB-CHC-1171353,Global Innovation Fund,gif,https://dashboard.iatistandard.org/publishers/gif/
GB-CHC-1172875,IATI,GB-CHC-1172875,East African Playgrounds,eap,https://dashboard.iatistandard.org/publishers/eap/
GB-CHC-1174874,IATI,GB-CHC-1174874,Royal Commonwealth Ex-Sevices League,rcel,https://dashboard.iatistandard.org/publishers/rcel/
GB-CHC-1175791,IATI,GB-CHC-1175791,Global Anaesthesia Development Partnerships,gadp,https://dashboard.iatistandard.org/publishers/gadp/
GB-CHC-1177110,IATI,GB-CHC-1177110,Elrha,elrha,https://dashboard.iatistandard.org/publishers/elrha/
GB-CHC-1178168,IATI,GB-CHC-1178168,CDAC Network,cdacnetwork,https://dashboard.iatistandard.org/publishers/cdacnetwork/
GB-CHC-1180966,IATI,GB-CHC-1180966,Myanmar Trust UK,mtuk,https://dashboard.iatistandard.org/publishers/mtuk/
GB-CHC-1186748,IATI,GB-CHC-1186748,Neotree,nt_2024,https://dashboard.iatistandard.org/publishers/nt_2024/
GB-CHC-1187721,IATI,GB-CHC-1187721,United World Schools,uws,https://dashboard.iatistandard.org/publishers/uws/
GB-CHC-1188731,IATI,GB-CHC-1188731,Sustainable Hospitality Alliance,sha,https://dashboard.iatistandard.org/publishers/sha/
GB-CHC-1193984,IATI,GB-CHC-1193984,Vodafone Foundation,vodafonefoundation,https://dashboard.iatistandard.org/publishers/vodafonefoundation/
